2018-11-05 01:21:39,389 [Worker-1: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-11-05 01:22:26,438 [main] WARN  org.eclipse.jgit.util.FS - null
2018-11-05 02:13:16,188 [Worker-5: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-11-05 02:13:16,604 [Worker-10: Building workspace] WARN  org.eclipse.jgit.util.FS - null
2018-11-05 02:14:09,222 [Worker-1: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-11-05 02:14:09,542 [Worker-13: Building workspace] WARN  org.eclipse.jgit.util.FS - null
2018-11-05 02:16:35,058 [Worker-15: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-11-05 02:16:35,646 [Worker-13: Building workspace] WARN  org.eclipse.jgit.util.FS - null
2018-11-05 02:21:06,767 [Worker-12: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: testPackage:testPackage:0.0.1-SNAPSHOT @ /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/pom.xml.
2018-11-05 02:21:07,166 [Worker-12: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 02:21:07,170 [Worker-12: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/main/resources
2018-11-05 02:21:07,172 [Worker-12: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 02:21:07,173 [Worker-12: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/test/resources
2018-11-05 02:21:08,067 [Worker-12: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: testPackage:testPackage:0.0.1-SNAPSHOT @ /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/pom.xml.
2018-11-05 02:21:08,585 [Worker-24: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 02:21:08,586 [Worker-24: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/main/resources
2018-11-05 02:21:08,588 [Worker-24: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 02:21:08,594 [Worker-24: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/test/resources
2018-11-05 03:21:23,012 [Worker-29: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: testPackage:testPackage:0.0.1-SNAPSHOT @ /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/pom.xml.
2018-11-05 03:21:23,299 [Worker-29: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 03:21:23,300 [Worker-29: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/main/resources
2018-11-05 03:21:23,302 [Worker-29: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 03:21:23,302 [Worker-29: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/test/resources
2018-11-05 03:23:21,388 [Worker-28: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: testPackage:testPackage:0.0.1-SNAPSHOT @ /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/pom.xml.
2018-11-05 03:23:21,622 [Worker-28: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 03:23:21,630 [Worker-28: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/main/resources
2018-11-05 03:23:21,632 [Worker-28: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 03:23:21,633 [Worker-28: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/test/resources
2018-11-05 03:23:38,538 [Worker-25: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: testPackage:testPackage:0.0.1-SNAPSHOT @ /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/pom.xml.
2018-11-05 03:23:38,665 [Worker-25: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 03:23:38,666 [Worker-25: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/main/resources
2018-11-05 03:23:38,669 [Worker-25: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 03:23:38,677 [Worker-25: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/test/resources
2018-11-05 03:27:19,915 [Worker-12: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 03:27:19,916 [Worker-12: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/main/resources
2018-11-05 03:27:19,918 [Worker-12: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 03:27:19,919 [Worker-12: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/test/resources
2018-11-05 03:27:58,358 [Worker-28: Rebuilding] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 03:27:58,359 [Worker-28: Rebuilding] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/main/resources
2018-11-05 03:27:58,360 [Worker-28: Rebuilding] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 03:27:58,361 [Worker-28: Rebuilding] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/test/resources
2018-11-05 03:28:10,823 [Worker-25: Rebuilding] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 03:28:10,826 [Worker-25: Rebuilding] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/main/resources
2018-11-05 03:28:10,829 [Worker-25: Rebuilding] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 03:28:10,829 [Worker-25: Rebuilding] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/test/resources
2018-11-05 03:29:06,758 [Worker-12: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 03:29:06,759 [Worker-12: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/main/resources
2018-11-05 03:29:06,760 [Worker-12: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 03:29:06,767 [Worker-12: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/test/resources
2018-11-05 03:30:46,001 [Worker-29: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 03:30:46,003 [Worker-29: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/main/resources
2018-11-05 03:30:46,005 [Worker-29: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 03:30:46,005 [Worker-29: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/test/resources
2018-11-05 03:30:49,437 [Worker-29: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 03:30:49,438 [Worker-29: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/main/resources
2018-11-05 03:30:49,439 [Worker-29: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 03:30:49,439 [Worker-29: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/test/resources
2018-11-05 03:31:10,896 [Worker-25: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 03:31:10,897 [Worker-25: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/main/resources
